Data i czas,Poziom,Ważność,Kategoria,Wiadomość,Szczegóły
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 27650,"{""process_id"": ""316"", ""formssessionname"": ""20250607-115741-1-192.168.101.185"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133548427"", ""formsusername"": ""wgoryczka@eskulap"", ""thread"": ""316"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 8043,"{""process_id"": ""1267"", ""formssessionname"": ""20250607-041212-1-192.168.101.142"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133553530"", ""formsusername"": ""jniznik@eskulap"", ""thread"": ""1267"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 121037,"{""process_id"": ""941"", ""formssessionname"": ""20250606-121300-1-192.168.101.190"", ""formsformname"": ""IPMAIN"", ""formsdbsessionid"": ""(no-db-session)"", ""formsusername"": ""@"", ""thread"": ""941"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 3224,"{""process_id"": ""1729"", ""formssessionname"": ""20250607-172806-1-192.168.101.128"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133561921"", ""formsusername"": ""epekala@eskulap"", ""thread"": ""1729"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 46787,"{""process_id"": ""252"", ""formssessionname"": ""20250607-052223-1-192.168.101.190"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133526614"", ""formsusername"": ""bgalka@eskulap"", ""thread"": ""252"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 8016,"{""process_id"": ""909"", ""formssessionname"": ""20250607-194631-1-192.168.100.20"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133566621"", ""formsusername"": ""mkondys@eskulap"", ""thread"": ""909"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 138413,"{""process_id"": ""1359"", ""formssessionname"": ""20250606-070557-1-192.168.101.190"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133367365"", ""formsusername"": ""mhalczak@eskulap"", ""thread"": ""1359"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 7698,"{""process_id"": ""2070"", ""formssessionname"": ""20250607-170655-1-192.168.101.135"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133561188"", ""formsusername"": ""dwojtowicz@eskulap"", ""thread"": ""2070"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 6146,"{""process_id"": ""394"", ""formssessionname"": ""20250607-061804-1-192.168.101.103"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133528677"", ""formsusername"": ""bsochan@eskulap"", ""thread"": ""394"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 1293,"{""process_id"": ""1763"", ""formssessionname"": ""20250607-213826-1-192.168.101.143"", ""formsformname"": ""SLISTPAC"", ""formsdbsessionid"": ""133556428"", ""formsusername"": ""kwesniuk@eskulap"", ""thread"": ""1763"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 111851,"{""process_id"": ""1099"", ""formssessionname"": ""20250606-143154-1-192.168.103.204"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133479611"", ""formsusername"": ""esek@eskulap"", ""thread"": ""1099"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 12623,"{""process_id"": ""242"", ""formssessionname"": ""20250607-175752-1-192.168.102.10"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133553463"", ""formsusername"": ""jflorek@eskulap"", ""thread"": ""242"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 126312,"{""process_id"": ""1907"", ""formssessionname"": ""20250606-083146-1-192.168.101.145"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133388452"", ""formsusername"": ""mkuc@eskulap"", ""thread"": ""1907"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 1211,"{""process_id"": ""363"", ""formssessionname"": ""20250607-182245-1-192.168.101.185"", ""formsformname"": ""SLISTPAC"", ""formsdbsessionid"": ""133553824"", ""formsusername"": ""tbak@eskulap"", ""thread"": ""363"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 127003,"{""process_id"": ""919"", ""formssessionname"": ""20250606-062604-1-192.168.101.96"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133350340"", ""formsusername"": ""rbiedron@eskulap"", ""thread"": ""919"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 111266,"{""process_id"": ""238"", ""formssessionname"": ""20250606-111815-1-192.168.103.202"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133441641"", ""formsusername"": ""asmolecka@eskulap"", ""thread"": ""238"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 137388,"{""process_id"": ""1623"", ""formssessionname"": ""20250606-070655-1-192.168.101.179"", ""formsformname"": ""ODWYWIAD"", ""formsdbsessionid"": ""133352791"", ""formsusername"": ""isak@eskulap"", ""thread"": ""1623"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 126815,"{""process_id"": ""2193"", ""formssessionname"": ""20250606-064658-1-192.168.101.179"", ""formsformname"": ""IPREPRUN"", ""formsdbsessionid"": ""133351437"", ""formsusername"": ""jbiela@eskulap"", ""thread"": ""2193"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 55844,"{""process_id"": ""1253"", ""formssessionname"": ""20250607-053520-1-192.168.100.20"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133527093"", ""formsusername"": ""alatawiec@eskulap"", ""thread"": ""1253"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 1936,"{""process_id"": ""584"", ""formssessionname"": ""20250607-211726-1-192.168.101.185"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133556089"", ""formsusername"": ""epekala@eskulap"", ""thread"": ""584"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 14516,"{""process_id"": ""1286"", ""formssessionname"": ""20250606-220316-1-192.168.102.10"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133553432"", ""formsusername"": ""jflorek@eskulap"", ""thread"": ""1286"", ""type"": ""Info""}"
2025-06-08 00:00:27,BŁĄD,wysoki,Ogólne ostrzeżenie,Błąd aplikacji:,"{""process_id"": ""1002"", ""formssessionname"": ""no_session"", ""formsusername"": ""anonymous"", ""thread"": ""1002"", ""type"": ""Error""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 1919,"{""process_id"": ""1469"", ""formssessionname"": ""20250607-124927-1-192.168.101.103"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133549170"", ""formsusername"": ""bsochan@eskulap"", ""thread"": ""1469"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 39692,"{""process_id"": ""85"", ""formssessionname"": ""20250607-095340-1-192.168.101.191"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133506391"", ""formsusername"": ""jciezak@eskulap"", ""thread"": ""85"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 6119,"{""process_id"": ""1726"", ""formssessionname"": ""20250607-170717-1-192.168.101.103"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133561195"", ""formsusername"": ""bsochan@eskulap"", ""thread"": ""1726"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 131618,"{""process_id"": ""1504"", ""formssessionname"": ""20250606-084819-1-192.168.103.204"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133417472"", ""formsusername"": ""esek@eskulap"", ""thread"": ""1504"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 133881,"{""process_id"": ""638"", ""formssessionname"": ""20250606-082304-1-192.168.103.204"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133387541"", ""formsusername"": ""Wszatkowski@eskulap"", ""thread"": ""638"", ""type"": ""Info""}"
2025-06-08 00:00:27,INFORMACJA,niski,Ogólne ostrzeżenie,#-> Ping - seconds since last user activity: 27589,"{""process_id"": ""313"", ""formssessionname"": ""20250607-115741-1-192.168.101.185"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""133548427"", ""formsusername"": ""wgoryczka@eskulap"", ""thread"": ""313"", ""type"": ""Info""}"
