Data i czas,Poziom,Ważność,Kategoria,Wiadomość,Szczegóły
2025-05-14 08:21:47,INFO,low,General Warning,External operation finished (type: MethodCall),"{""process_id"": ""1873"", ""formssessionname"": ""20250514-061827-1-192.168.102.5"", ""formsformname"": ""IPREPRUN"", ""formsdbsessionid"": ""129799077"", ""formsusername"": ""bgalka@eskulap"", ""thread"": ""1873"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,Service Status,External operation started (type: MethodCall),"{""process_id"": ""1085"", ""formssessionname"": ""20250514-045659-1-192.168.100.20"", ""formsformname"": ""IPPRZIP"", ""formsdbsessionid"": ""129782914"", ""formsusername"": ""aciukowska@eskulap"", ""thread"": ""1085"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,#-> Ping - seconds since last user activity: 1053,"{""process_id"": ""654"", ""formssessionname"": ""20250514-050352-1-192.168.102.23"", ""formsformname"": ""SK_LISTA"", ""formsdbsessionid"": ""129783198"", ""formsusername"": ""ikwiatkowska@eskulap"", ""thread"": ""654"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,"/->ButtonPressed (DefToolbar.DeleteRecord[0]), (Shift,Ctrl,Alt)=(False,False,False), changes: 0 - OperationResult.Status: Success","{""process_id"": ""544"", ""formssessionname"": ""20250514-045520-1-192.168.101.144"", ""formsformname"": ""RIDIAGTERP"", ""formsdbsessionid"": ""129787597"", ""formsusername"": ""pmaciejewski@eskulap"", ""thread"": ""544"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,Service Status,/->startEdit Fak.FakDataWystawienia - OperationResult.Status: Success,"{""process_id"": ""1947"", ""formssessionname"": ""20250514-050445-1-192.168.101.137"", ""formsformname"": ""EV_LEKI"", ""formsdbsessionid"": ""129783248"", ""formsusername"": ""jlezanska@eskulap"", ""thread"": ""1947"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,Service Status,#-> startEdit Fak.FakDataWystawienia,"{""process_id"": ""1947"", ""formssessionname"": ""20250514-050445-1-192.168.101.137"", ""formsformname"": ""EV_LEKI"", ""formsdbsessionid"": ""129783248"", ""formsusername"": ""jlezanska@eskulap"", ""thread"": ""1947"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,#-> nt_click | RIDIAGTERP:DEF_TOOLBAR.DELETE_RECORD[1] {} |,"{""process_id"": ""544"", ""formssessionname"": ""20250514-045520-1-192.168.101.144"", ""formsformname"": ""RIDIAGTERP"", ""formsdbsessionid"": ""129787597"", ""formsusername"": ""pmaciejewski@eskulap"", ""thread"": ""544"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,"#-> ButtonPressed (DefToolbar.DeleteRecord[0]), (Shift,Ctrl,Alt)=(False,False,False), changes: 0","{""process_id"": ""544"", ""formssessionname"": ""20250514-045520-1-192.168.101.144"", ""formsformname"": ""RIDIAGTERP"", ""formsdbsessionid"": ""129787597"", ""formsusername"": ""pmaciejewski@eskulap"", ""thread"": ""544"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,#-> Ping - seconds since last user activity: 1263,"{""process_id"": ""1832"", ""formssessionname"": ""20250514-052513-3-192.168.101.172"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""129784558"", ""formsusername"": ""kjerzyk@eskulap"", ""thread"": ""1832"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,"/->Key keyCode:38, (block.item)=(.), (Shift,Ctrl,Alt)=(False,False,False), changes: 0 - OperationResult.Status: Success","{""process_id"": ""192"", ""formssessionname"": ""20250514-061906-1-192.168.101.149"", ""formsformname"": ""ODKSODDZ"", ""formsdbsessionid"": ""129799191"", ""formsusername"": ""amgwiazdon@eskulap"", ""thread"": ""192"", ""type"": ""Info""}"
